Line name,Width (px),Width (mm),Standard deviation (px),Standard deviation (mm),Maximum width (mm),Minimum width (mm),Width variation (%),Crosses contours
line_000000_layer_0.20.png,39.16,2.7518,2.93,0.2061,3.0919,1.4054,7.49,No
line_000001_layer_0.20.png,37.91,2.6642,3.56,0.2503,3.0217,0.3514,9.40,No
line_000002_layer_0.20.png,38.98,2.7393,2.72,0.1913,2.9514,0.3514,6.98,No
line_000003_layer_0.20.png,38.63,2.7144,5.28,0.3710,3.0919,0.3514,13.67,No
line_000004_layer_0.20.png,27.09,1.9034,4.43,0.3112,2.1081,0.2811,16.35,Yes
line_000005_layer_0.40.png,38.77,2.7247,3.21,0.2255,2.9514,0.3514,8.28,No
line_000006_layer_0.40.png,38.79,2.7260,4.26,0.2991,3.0919,2.0379,10.97,No
line_000007_layer_0.40.png,39.26,2.7588,4.19,0.2946,3.0919,0.3514,10.68,No
line_000008_layer_0.40.png,38.25,2.6876,1.71,0.1200,2.9514,2.4595,4.46,No
line_000009_layer_0.40.png,26.64,1.8721,4.07,0.2860,2.1081,0.3514,15.27,No
